"concept","code","name","level","parent"
"coicop18","TOTAL","Total",1,"NULL"
"coicop18","CP01","Food and non-alcoholic beverages",2,"TOTAL"
"coicop18","CP011","Food",3,"CP01"
"coicop18","CP0111","Cereals and cereal products (ND)",4,"CP011"
"coicop18","CP01111","Cereals (ND)",5,"CP0111"
"coicop18","CP01112","Flour of cereals (ND)",5,"CP0111"
"coicop18","CP01113","Bread and bakery products (ND)",5,"CP0111"
"coicop18","CP011131","Bread",6,"CP01113"
"coicop18","CP011139","Other bakery products",6,"CP01113"
"coicop18","CP01114","Breakfast cereals (ND)",5,"CP0111"
"coicop18","CP01115","Macaroni, noodles, couscous and similar pasta products (ND)",5,"CP0111"
"coicop18","CP01119","Other milled cereal and grain products (ND)",5,"CP0111"
"coicop18","CP0112","Live animals, and meat and other parts of slaughtered land animals (ND)",4,"CP011"
"coicop18","CP01121","Live land animals (ND)",5,"CP0112"
"coicop18","CP01122","Meat, fresh, chilled or frozen (ND)",5,"CP0112"
"coicop18","CP011221","Meat of bovine animals, fresh, chilled or frozen",6,"CP01122"
"coicop18","CP011222","Meat of pigs, fresh, chilled or frozen",6,"CP01122"
"coicop18","CP011223","Meat of goats, lambs and sheep, fresh, chilled or frozen",6,"CP01122"
"coicop18","CP011224","Meat of poultry, fresh, chilled or frozen",6,"CP01122"
"coicop18","CP011225","Meat of hares and rabbits, fresh, chilled or frozen",6,"CP01122"
"coicop18","CP011226","Meat of horses and other equines, fresh, chilled or frozen",6,"CP01122"
"coicop18","CP011227","Meat of camels and camelids, fresh, chilled or frozen",6,"CP01122"
"coicop18","CP011229","Other meat, fresh, chilled or frozen",6,"CP01122"
"coicop18","CP01123","Meat, dried, salted, in brine or smoked (ND)",5,"CP0112"
"coicop18","CP01124","Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",5,"CP0112"
"coicop18","CP01125","Preparations of meat, offal, blood and other parts of slaughtered animals (ND)",5,"CP0112"
"coicop18","CP0113","Fish and other seafood (ND)",4,"CP011"
"coicop18","CP01131","Fish, live, fresh, chilled or frozen (ND)",5,"CP0113"
"coicop18","CP01132","Fish, dried, salted, in brine or smoked (ND)",5,"CP0113"
"coicop18","CP01133","Fish preparations (ND)",5,"CP0113"
"coicop18","CP01134","Other seafood, live, fresh, chilled or frozen (ND)",5,"CP0113"
"coicop18","CP01135","Other seafood, dried, salted, in brine or smoked (ND)",5,"CP0113"
"coicop18","CP01136","Other seafood preparations (ND)",5,"CP0113"
"coicop18","CP01137","Livers, roes and other offal of fish and of other seafood in all forms (ND)",5,"CP0113"
"coicop18","CP0114","Milk, other dairy products and eggs (ND)",4,"CP011"
"coicop18","CP01141","Raw and whole milk (ND)",5,"CP0114"
"coicop18","CP01142","Skimmed milk (ND)",5,"CP0114"
"coicop18","CP01143","Other milk and cream (ND)",5,"CP0114"
"coicop18","CP01144","Non-animal milk (ND)",5,"CP0114"
"coicop18","CP01145","Cheese (ND)",5,"CP0114"
"coicop18","CP01146","Yoghurt and similar products (ND)",5,"CP0114"
"coicop18","CP01147","Milk-based dessert and beverages (ND)",5,"CP0114"
"coicop18","CP01148","Eggs (ND)",5,"CP0114"
"coicop18","CP01149","Other dairy products (ND)",5,"CP0114"
"coicop18","CP0115","Oils and fats (ND)",4,"CP011"
"coicop18","CP01151","Vegetable oils (ND)",5,"CP0115"
"coicop18","CP011513","Olive oil",6,"CP01151"
"coicop18","CP01152","Butter and other oils and fats derived from milk (ND)",5,"CP0115"
