"concept","code","name","level","parent"
"nace_r2","B-E36","Industry (except construction, sewerage, waste management and remediation activities)",0,NA
"nace_r2","B-E36_X_FOOD","Industry (except construction, sewerage, waste management and remediation activities), except food, beverages and tobacco",0,NA
"nace_r2","B-D","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",0,NA
"nace_r2","B_C","Mining and quarrying; manufacturing",0,NA
"nace_r2","B_C_X_MIG_NRG","Mining and quarrying; manufacturing (except MIG energy)",0,NA
"nace_r2","B_C_X_FD_MIG_NRG","Mining and quarrying; manufacturing (except MIG energy), except food, beverages and tobacco",0,NA
"nace_r2","MIG_ING","MIG - intermediate goods",0,NA
"nace_r2","MIG_NRG","MIG - energy",0,NA
"nace_r2","MIG_NRG_X_D_E","MIG - energy (except sections D and E)",0,NA
"nace_r2","MIG_CAG","MIG - capital goods",0,NA
"nace_r2","MIG_COG","MIG - consumer goods",0,NA
"nace_r2","MIG_COG_X_FOOD","MIG - consumer goods (except food, beverages and tobacco)",0,NA
"nace_r2","MIG_DCOG","MIG - durable consumer goods",0,NA
"nace_r2","MIG_NDCOG","MIG - non-durable consumer goods",0,NA
"nace_r2","B","Mining and quarrying",0,NA
"nace_r2","B05","Mining of coal and lignite",0,NA
"nace_r2","B051","Mining of hard coal",0,NA
"nace_r2","B052","Mining of lignite",0,NA
"nace_r2","B06","Extraction of crude petroleum and natural gas",0,NA
"nace_r2","B061","Extraction of crude petroleum",0,NA
"nace_r2","B062","Extraction of natural gas",0,NA
"nace_r2","B07","Mining of metal ores",0,NA
"nace_r2","B071","Mining of iron ores",0,NA
"nace_r2","B072","Mining of non-ferrous metal ores",0,NA
"nace_r2","B08","Other mining and quarrying",0,NA
"nace_r2","B081","Quarrying of stone, sand and clay",0,NA
"nace_r2","B089","Mining and quarrying n.e.c.",0,NA
"nace_r2","B0891","Mining of chemical and fertiliser minerals",0,NA
"nace_r2","B0892","Extraction of peat",0,NA
"nace_r2","B0893","Extraction of salt",0,NA
"nace_r2","B0899","Other mining and quarrying n.e.c.",0,NA
"nace_r2","B09","Mining support service activities",0,NA
"nace_r2","C","Manufacturing",0,NA
"nace_r2","C_HTC_M","Medium high-technology manufacturing",0,NA
"nace_r2","C_HTC","High-technology manufacturing",0,NA
"nace_r2","C_LTC_M","Medium low-technology manufacturing",0,NA
"nace_r2","C_LTC","Low-technology manufacturing",0,NA
"nace_r2","C10-C12","Manufacture of food products; beverages and tobacco products",0,NA
"nace_r2","C10_C11","Manufacture of food products and beverages",0,NA
"nace_r2","C10","Manufacture of food products",0,NA
"nace_r2","C101","Processing and preserving of meat and production of meat products",0,NA
"nace_r2","C1011","Processing and preserving of meat",0,NA
"nace_r2","C1012","Processing and preserving of poultry meat",0,NA
"nace_r2","C1013","Production of meat and poultry meat products",0,NA
"nace_r2","C102","Processing and preserving of fish, crustaceans and molluscs",0,NA
"nace_r2","C103","Processing and preserving of fruit and vegetables",0,NA
"nace_r2","C1031","Processing and preserving of potatoes",0,NA
"nace_r2","C1032","Manufacture of fruit and vegetable juice",0,NA
"nace_r2","C1039","Other processing and preserving of fruit and vegetables",0,NA
